Ee,eff
0.00018011,0.177419
0.000193764,0.17991
0.000210613,0.182069
0.000228333,0.185751
0.000247796,0.189918
0.000269003,0.190065
0.00030212,0.192308
0.000341047,0.201022
0.000381717,0.203196
0.000425873,0.206003
0.00047061,0.208642
0.000519995,0.213408
0.000590006,0.219596
0.000658854,0.22134
0.000724797,0.224048
0.000775926,0.229128
0.000858428,0.232149
0.000944125,0.231385
0.0010304,0.23682
0.00112075,0.240798
0.00121807,0.245171
0.00133775,0.248208
0.00142316,0.252501
0.00154575,0.255591
0.00167851,0.255625
0.00186762,0.26256
0.00210177,0.268141
0.00240592,0.276383
0.0026633,0.278032
0.00297123,0.282949
0.00330357,0.286757
0.00355427,0.290478
0.0040455,0.297214
0.00454894,0.305575
0.00520692,0.312653
0.00613246,0.320417
0.00663095,0.327171
0.00709459,0.327614
0.00755242,0.33518
0.00829,0.339629
0.00917108,0.34783
0.0101896,0.348443
0.0111285,0.358933
0.0125144,0.363472
0.013756,0.376829
0.0156562,0.385553
0.0172958,0.392892
0.0189299,0.40213
0.0212722,0.418786
0.0237522,0.422563
0.0265383,0.434726
0.0301211,0.4486
0.0342116,0.46522
0.0371811,0.47131
0.0398055,0.476749
0.0450182,0.492663
0.0502986,0.511658
0.0565226,0.520044
0.0620441,0.521264
0.06771,0.536153
0.0743244,0.559031
0.0807753,0.559887
0.0888474,0.576338
0.0981521,0.587351
0.109127,0.60117
0.117496,0.622751
0.126338,0.626748
0.13498,0.631217
0.146489,0.64271
0.160112,0.653992
0.171414,0.667317
0.189366,0.679543
0.199175,0.688717
0.2166,0.700773
0.235234,0.708947
0.256929,0.72503
0.274504,0.738116

